,Index,Date,Total Cases,Total Deaths,Total Recovery,Ongoing Cases
0,0,2020-01-22,557,17,30,510
1,1,2020-01-23,656,19,33,604
2,2,2020-01-24,943,28,41,874
3,3,2020-01-25,1436,45,45,1346
4,4,2020-01-26,2122,60,60,2002
5,5,2020-01-27,2932,87,70,2775
6,6,2020-01-28,5584,137,114,5333
7,7,2020-01-29,6174,140,134,5900
8,8,2020-01-30,8243,179,153,7911
9,9,2020-01-31,9936,222,234,9480
10,10,2020-02-01,12048,269,297,11482
11,11,2020-02-02,16798,373,487,15938
12,12,2020-02-03,19899,438,639,18822
13,13,2020-02-04,23911,505,870,22536
14,14,2020-02-05,27657,578,1143,25936
15,15,2020-02-06,30818,649,1507,28662
16,16,2020-02-07,34412,735,2032,31645
17,17,2020-02-08,37147,823,2633,33691
18,18,2020-02-09,40178,924,3263,35991
19,19,2020-02-10,42788,1032,3966,37790
20,20,2020-02-11,44831,1133,4704,38994
21,21,2020-02-12,45250,1139,5172,38939
22,22,2020-02-13,60404,1393,6316,52695
23,23,2020-02-14,66932,1546,8080,57306
24,24,2020-02-15,69076,1690,9420,57966
25,25,2020-02-16,71260,1795,10891,58574
26,26,2020-02-17,73296,1894,12609,58793
27,27,2020-02-18,75179,2035,14379,58765
28,28,2020-02-19,75680,2151,16149,57380
29,29,2020-02-20,76241,2277,18208,55756
30,30,2020-02-21,76871,2282,18922,55667
31,31,2020-02-22,78633,2490,22920,53223
32,32,2020-02-23,79014,2502,23426,53086
33,33,2020-02-24,79579,2663,25260,51656
34,34,2020-02-25,80433,2744,27939,49750
35,35,2020-02-26,81411,2806,30421,48184
36,36,2020-02-27,82772,2850,33314,46608
37,37,2020-02-28,84159,2910,36747,44502
38,38,2020-02-29,86051,2980,39819,43252
39,39,2020-03-01,88433,3035,42756,42642
40,40,2020-03-02,90417,3125,45641,41651
41,41,2020-03-03,93012,3201,48268,41543
42,42,2020-03-04,95321,3297,51211,40813
43,43,2020-03-05,98133,3392,53838,40903
44,44,2020-03-06,102047,3504,55907,42636
45,45,2020-03-07,106143,3609,58402,44132
46,46,2020-03-08,110093,3849,60740,45504
47,47,2020-03-09,114266,4040,62540,47686
48,48,2020-03-10,119089,4315,64448,50326
49,49,2020-03-11,126751,4660,67047,55044
50,50,2020-03-12,132542,4967,68371,59204
51,51,2020-03-13,146927,5465,70299,71163
52,52,2020-03-14,158002,5886,72672,79444
53,53,2020-03-15,169272,6528,76084,86660
54,54,2020-03-16,184081,7207,78140,98734
55,55,2020-03-17,200025,8022,80885,111118
56,56,2020-03-18,219591,8930,83373,127288
57,57,2020-03-19,246641,10042,85015,151584
58,58,2020-03-20,277417,11528,87461,178428
59,59,2020-03-21,309409,13251,91709,204449
60,60,2020-03-22,344265,14937,97927,231401
61,61,2020-03-23,387101,16887,98396,271818
62,62,2020-03-24,428281,19178,108036,301067
63,63,2020-03-25,479283,21989,113816,343478
64,64,2020-03-26,542161,25025,122189,394947
65,65,2020-03-27,607203,28514,130975,447714
66,66,2020-03-28,674484,32245,139487,502752
67,67,2020-03-29,733722,35765,148944,549013
68,68,2020-03-30,799017,39847,164282,594888
69,69,2020-03-31,875863,44596,177873,653394
70,70,2020-04-01,958672,50595,193146,714931
71,71,2020-04-02,1041733,56483,210290,774960
72,72,2020-04-03,1125293,62645,225713,836935
73,73,2020-04-04,1183657,68560,246126,868971
74,74,2020-04-05,1256250,73749,259963,922538
75,75,2020-04-06,1329406,79688,276673,973045
76,76,2020-04-07,1399238,87947,299936,1011355
77,77,2020-04-08,1482617,94759,328819,1059039
78,78,2020-04-09,1569632,102544,354074,1113014
79,79,2020-04-10,1655167,109923,375813,1169431
80,80,2020-04-11,1729451,116096,402064,1211291
81,81,2020-04-12,1849148,121956,421448,1305744
82,82,2020-04-13,1919891,127923,448706,1343262
83,83,2020-04-14,2003903,134894,473781,1395228
84,84,2020-04-15,2081018,143368,510321,1427329
85,85,2020-04-16,2176550,150628,541205,1484717
86,86,2020-04-17,2264548,159023,567390,1538135
87,87,2020-04-18,2341789,165169,591257,1585363
88,88,2020-04-19,2418395,170403,623041,1624951
89,89,2020-04-20,2494414,176275,645220,1672919
90,90,2020-04-21,2570164,183549,680023,1706592
91,91,2020-04-22,2651412,190414,710109,1750889
92,92,2020-04-23,2735662,197243,738840,1799579
93,93,2020-04-24,2819759,204014,788870,1826875
94,94,2020-04-25,2902019,209643,816626,1875750
95,95,2020-04-26,2973608,213623,845439,1914546
96,96,2020-04-27,3043801,218370,873324,1952107
97,97,2020-04-28,3119342,224949,906537,1987856
98,98,2020-04-29,3196453,231675,948615,2016163
99,99,2020-04-30,3279949,237517,1013732,2028700
100,100,2020-05-01,3368326,242669,1051890,2073767
101,101,2020-05-02,3447527,248165,1092542,2106820
102,102,2020-05-03,3523901,251677,1125076,2147148
103,103,2020-05-04,3601591,255891,1159163,2186537
104,104,2020-05-05,3682094,261715,1195637,2224742
105,105,2020-05-06,3772123,268221,1241757,2262145
106,106,2020-05-07,3860830,273532,1281283,2306015
107,107,2020-05-08,3951110,279085,1317697,2354328
108,108,2020-05-09,4036334,283311,1371139,2381884
109,109,2020-05-10,4111311,286871,1404949,2419491
110,110,2020-05-11,4187943,290358,1451835,2445750
111,111,2020-05-12,4272435,295844,1488878,2487713
112,112,2020-05-13,4357416,300977,1544751,2511688
113,113,2020-05-14,4453648,306147,1584463,2563038
114,114,2020-05-15,4549381,311369,1632567,2605445
115,115,2020-05-16,4643821,315546,1688979,2639296
116,116,2020-05-17,4721844,318734,1729988,2673122
117,117,2020-05-18,4811012,322498,1782905,2705609
118,118,2020-05-19,4907788,327146,1834958,2745684
119,119,2020-05-20,5009667,331926,1893929,2783812
120,120,2020-05-21,5116312,336586,1945150,2834576
121,121,2020-05-22,5222735,341831,2053698,2827206
122,122,2020-05-23,5327540,345759,2108533,2873248
123,123,2020-05-24,5421752,348776,2164061,2908915
124,124,2020-05-25,5508470,349989,2227791,2930690
125,125,2020-05-26,5602438,354232,2282944,2965262
126,126,2020-05-27,5705201,359289,2346272,2999640
127,127,2020-05-28,5824485,363842,2413136,3047507
128,128,2020-05-29,5945389,368451,2490402,3086536
129,129,2020-05-30,6081905,372476,2560853,3148576
130,130,2020-05-31,6188314,375169,2637238,3175907
131,131,2020-06-01,6284310,378243,2692164,3213903
132,132,2020-06-02,6406275,382921,2796277,3227077
133,133,2020-06-03,6520525,388354,2875369,3256802
134,134,2020-06-04,6651470,393389,2945440,3312641
135,135,2020-06-05,6782694,397968,3014606,3370120
136,136,2020-06-06,6916432,401738,3086811,3427883
137,137,2020-06-07,7028796,404479,3141921,3482396
138,138,2020-06-08,7131294,408182,3293533,3429579
139,139,2020-06-09,7256355,412957,3375804,3467594
140,140,2020-06-10,7391461,418001,3454976,3518484
141,141,2020-06-11,7529482,422642,3540856,3565984
142,142,2020-06-12,7658248,426852,3620577,3610819
