,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Reflekt,Need To Feel Loved - Cristoph Remix,0.716,0.636,3.0,-10.251,0.0,0.0507,0.000898,0.891,0.0978,0.0648,124.994,466560.0,4.0
1,Rafael Cerato,She Is Really Fresh - Horisone Remix,0.775,0.682,11.0,-8.841,1.0,0.0386,0.00227,0.903,0.0785,0.37,124.009,421771.0,4.0
2,Rafael Cerato,Rock It,0.803,0.743,11.0,-6.241,1.0,0.0532,0.0012,0.308,0.0618,0.176,123.006,475173.0,4.0
3,Brigado Crew,Too Late - Damon Jee Remix,0.74,0.84,2.0,-9.41,1.0,0.0523,0.000635,0.896,0.113,0.235,121.996,262014.0,4.0
4,Moscoman,Free You (feat. Stereo MC's) - Super Flu Remix,0.788,0.846,1.0,-9.207,1.0,0.0411,0.000216,0.817,0.094,0.277,121.986,442623.0,4.0
5,Ivan Masa,Borderline,0.78,0.917,7.0,-9.191,1.0,0.0508,0.000745,0.814,0.066,0.29,121.999,412317.0,4.0
6,Super Flu,Go,0.769,0.656,8.0,-10.663,1.0,0.0577,0.00305,0.838,0.625,0.215,121.014,480000.0,4.0
7,Giorgia Angiuli,Tears of Bliss,0.618,0.949,11.0,-8.67,0.0,0.0353,0.0767,0.632,0.163,0.0583,125.004,296115.0,4.0
8,David Keno,In A Dark Place - Darin Epsilon Remix,0.801,0.865,2.0,-10.332,1.0,0.046,0.00111,0.873,0.083,0.0389,123.012,486341.0,4.0
9,Rafael Cerato,Modulation,0.68,0.707,0.0,-8.622,1.0,0.0427,0.00157,0.688,0.0804,0.885,123.004,378689.0,4.0
10,Sasha Carassi,Shiver - 8Kays Remix,0.71,0.752,6.0,-8.855,0.0,0.0474,2.43e-05,0.838,0.175,0.109,122.014,458800.0,4.0
11,Fideles,No Human Interaction,0.796,0.854,5.0,-7.405,0.0,0.0486,0.0314,0.82,0.687,0.591,122.006,369836.0,4.0
12,MRAK,One,0.725,0.669,1.0,-9.332,0.0,0.043,0.0835,0.827,0.165,0.113,125.01,422777.0,4.0
13,Marino Canal,Reach,0.748,0.608,7.0,-10.909,1.0,0.0402,0.106,0.831,0.111,0.0348,120.002,381840.0,4.0
14,gardenstate,The Best Part - Patrice Bäumel Remix,0.641,0.855,4.0,-9.803,1.0,0.0348,0.03,0.836,0.102,0.434,122.99,251739.0,4.0
15,Innellea,Hypolation,0.662,0.786,9.0,-8.561,0.0,0.0343,0.0217,0.754,0.14,0.0779,122.01,358093.0,4.0
16,Matador,Riches & Sins,0.781,0.575,6.0,-11.303,0.0,0.042,0.00476,0.881,0.0534,0.0321,124.009,442875.0,4.0
17,Anyma,Sentient,0.769,0.58,10.0,-13.436,0.0,0.0599,0.0852,0.907,0.109,0.0396,123.014,274148.0,4.0
18,Marino Canal,Calling Me Back - Coeus Remix,0.663,0.608,8.0,-10.518,1.0,0.0483,0.0383,0.873,0.107,0.235,123.996,466462.0,4.0
19,8Kays,Darkness & Light,0.7,0.864,1.0,-7.712,1.0,0.0544,0.0168,0.0404,0.205,0.127,123.995,236129.0,4.0
20,OC & Verde,In the Glow - Extended Mix,0.675,0.681,10.0,-9.306,0.0,0.0418,0.00143,0.541,0.459,0.158,124.013,456261.0,4.0
21,Fur Coat,Ancient Stories,0.734,0.799,6.0,-8.709,0.0,0.0367,0.0108,0.934,0.111,0.0393,122.998,470118.0,4.0
22,LEYZEN,ArtGaia - Super Flu Remix,0.8,0.55,9.0,-11.166,0.0,0.0448,0.00583,0.861,0.183,0.311,123.505,520810.0,4.0
23,Paradoks,Voices Inside,0.806,0.713,11.0,-8.925,0.0,0.0412,0.00242,0.858,0.68,0.0982,124.0,395300.0,4.0
24,Rauschhaus,Chrom,0.726,0.918,7.0,-6.481,1.0,0.0405,0.000101,0.85,0.0815,0.132,123.01,417582.0,4.0
25,Erly Tepshi,Pride,0.778,0.609,5.0,-10.671,0.0,0.0564,0.00809,0.781,0.258,0.0988,124.0,340648.0,4.0
